1	1	31	30
2	2	32	30
3	3	33	30
4	4	34	30
5	5	35	30
6	6	36	30
7	7	37	30
8	8	38	30
9	9	39	30
10	10	40	30
11	11	41	30
12	12	42	30
13	13	43	30
14	14	44	30
15	15	45	30
16	16	46	30
17	17	47	30
18	18	48	30
19	19	49	30
20	20	50	30
21	21	51	30
22	22	52	30
23	23	53	30
24	24	54	30
25	25	55	30
26	26	56	30
27	27	57	30
28	28	58	30
29	29	59	30
30	30	60	30
31	1	16	15
32	2	17	15
33	3	18	15
34	4	19	15
35	5	20	15
36	6	21	15
37	7	22	15
38	8	23	15
39	9	24	15
40	10	25	15
41	11	26	15
42	12	27	15
43	13	28	15
44	14	29	15
45	15	30	15
46	31	46	15
47	32	47	15
48	33	48	15
49	34	49	15
50	35	50	15
51	36	51	15
52	37	52	15
53	38	53	15
54	39	54	15
55	40	55	15
56	41	56	15
57	42	57	15
58	43	58	15
59	44	59	15
60	45	60	15
61	1	11	10
62	2	12	10
63	3	13	10
64	4	14	10
65	5	15	10
66	6	16	10
67	7	17	10
68	8	18	10
69	9	19	10
70	10	20	10
71	21	31	10
72	22	32	10
73	23	33	10
74	24	34	10
75	25	35	10
76	26	36	10
77	27	37	10
78	28	38	10
79	29	39	10
80	30	40	10
81	41	51	10
82	42	52	10
83	43	53	10
84	44	54	10
85	45	55	10
86	46	56	10
87	47	57	10
88	48	58	10
89	49	59	10
90	50	60	10
91	1	6	5
92	2	7	5
93	3	8	5
94	4	9	5
95	5	10	5
96	11	16	5
97	12	17	5
98	13	18	5
99	14	19	5
100	15	20	5
101	21	26	5
102	22	27	5
103	23	28	5
104	24	29	5
105	25	30	5
106	31	36	5
107	32	37	5
108	33	38	5
109	34	39	5
110	35	40	5
111	41	46	5
112	42	47	5
113	43	48	5
114	44	49	5
115	45	50	5
116	51	56	5
117	52	57	5
118	53	58	5
119	54	59	5
120	55	60	5
121	1	4	3
122	2	5	3
123	3	6	3
124	7	10	3
125	8	11	3
126	9	12	3
127	13	16	3
128	14	17	3
129	15	18	3
130	19	22	3
131	20	23	3
132	21	24	3
133	25	28	3
134	26	29	3
135	27	30	3
136	31	34	3
137	32	35	3
138	33	36	3
139	37	40	3
140	38	41	3
141	39	42	3
142	43	46	3
143	44	47	3
144	45	48	3
145	49	52	3
146	50	53	3
147	51	54	3
148	55	58	3
149	56	59	3
150	57	60	3
151	1	3	2
152	2	4	2
153	5	7	2
154	6	8	2
155	9	11	2
156	10	12	2
157	13	15	2
158	14	16	2
159	17	19	2
160	18	20	2
161	21	23	2
162	22	24	2
163	25	27	2
164	26	28	2
165	29	31	2
166	30	32	2
167	33	35	2
168	34	36	2
169	37	39	2
170	38	40	2
171	41	43	2
172	42	44	2
173	45	47	2
174	46	48	2
175	49	51	2
176	50	52	2
177	53	55	2
178	54	56	2
179	57	59	2
180	58	60	2
181	1	2	1
182	3	4	1
183	5	6	1
184	7	8	1
185	9	10	1
186	11	12	1
187	13	14	1
188	15	16	1
189	17	18	1
190	19	20	1
191	21	22	1
192	23	24	1
193	25	26	1
194	27	28	1
195	29	30	1
196	31	32	1
197	33	34	1
198	35	36	1
199	37	38	1
200	39	40	1
201	41	42	1
202	43	44	1
203	45	46	1
204	47	48	1
205	49	50	1
206	51	52	1
207	53	54	1
208	55	56	1
209	57	58	1
210	59	60	1
